"visit_date","air_store_id","visitors","air_area_name.x","latitude.x","longitude.x","day_of_week.x","holiday_flg.x","air_genre_name.y","air_area_name.y","day_of_week.y"
2016-01-01,"air_db80363d35f10926",8,"Hokkaido Asahikawa-shi 6 Jodori",43.7706355,142.364819,"Friday",1,"Dining bar","Hokkaido Asahikawa-shi 6 Jodori","Friday"
2016-01-02,"air_6b15edd1b4fbb96a",96,"Shizuoka-ken Hamamatsu-shi Motoshirocho",34.7108955,137.7259397,"Saturday",0,"Italian/French","Shizuoka-ken Hamamatsu-shi Motoshirocho","Saturday"
2016-01-02,"air_db80363d35f10926",94,"Hokkaido Asahikawa-shi 6 Jodori",43.7706355,142.364819,"Saturday",0,"Dining bar","Hokkaido Asahikawa-shi 6 Jodori","Saturday"
2016-01-03,"air_37189c92b6c761ec",132,"Hokkaido Asahikawa-shi 6 Jodori",43.7706355,142.364819,"Sunday",0,"Bar/Cocktail","Hokkaido Asahikawa-shi 6 Jodori","Sunday"
2016-01-03,"air_6c91a28278a16f64",24,"Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134,"Sunday",0,"Cafe/Sweets","Fukuoka-ken Fukuoka-shi Daimyo","Sunday"
2016-01-03,"air_789466e488705c93",43,"Fukuoka-ken Kurume-shi Jonanmachi",33.3192865,130.5083735,"Sunday",0,"Izakaya","Fukuoka-ken Kurume-shi Jonanmachi","Sunday"
2016-01-03,"air_db80363d35f10926",69,"Hokkaido Asahikawa-shi 6 Jodori",43.7706355,142.364819,"Sunday",0,"Dining bar","Hokkaido Asahikawa-shi 6 Jodori","Sunday"
2016-01-03,"air_de88770300008624",29,"Niigata-ken Niigata-shi Gakkochodori 1 Bancho",37.9163674,139.0363265,"Sunday",0,"Izakaya","Niigata-ken Niigata-shi Gakkochodori 1 Bancho","Sunday"
2016-01-04,"air_63b13c56b7201bd9",33,"Fukuoka-ken Fukuoka-shi Daimyo",33.5869938,130.3948938,"Monday",0,"Cafe/Sweets","Fukuoka-ken Fukuoka-shi Daimyo","Monday"
2016-01-04,"air_7cc17a324ae5c7dc",10,"Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525,"Monday",0,"Italian/French","Hyogo-ken Kobe-shi Kumoidori","Monday"
2016-01-04,"air_c73d319ffabf287a",16,"Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525,"Monday",0,"Yakiniku/Korean food","Hyogo-ken Kobe-shi Kumoidori","Monday"
2016-01-04,"air_e270aff84ac7e4c8",23,"Hiroshima-ken Hiroshima-shi Kokutaijimachi",34.3862445,132.4550176,"Monday",0,"Okonomiyaki/Monja/Teppanyaki","Hiroshima-ken Hiroshima-shi Kokutaijimachi","Monday"
2016-01-05,"air_2cee51fa6fdf6c0d",2,"Tokyo-to Shibuya-ku Shibuya",35.6617773,139.7040506,"Tuesday",0,"Western food","Tokyo-to Shibuya-ku Shibuya","Tuesday"
2016-01-05,"air_638c35eb25e53eea",3,"Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134,"Tuesday",0,"Italian/French","Fukuoka-ken Fukuoka-shi Daimyo","Tuesday"
2016-01-05,"air_63b13c56b7201bd9",37,"Fukuoka-ken Fukuoka-shi Daimyo",33.5869938,130.3948938,"Tuesday",0,"Cafe/Sweets","Fukuoka-ken Fukuoka-shi Daimyo","Tuesday"
2016-01-05,"air_f690c42545146e0a",14,"Hokkaido Sapporo-shi Minami 3 Jonishi",43.0568187,141.3539573,"Tuesday",0,"Japanese food","Hokkaido Sapporo-shi Minami 3 Jonishi","Tuesday"
2016-01-05,"air_f96765e800907c77",65,"Hiroshima-ken Hiroshima-shi Kokutaijimachi",34.3862445,132.4550176,"Tuesday",0,"Izakaya","Hiroshima-ken Hiroshima-shi Kokutaijimachi","Tuesday"
2016-01-06,"air_3e6cea17a9d2c0f1",24,"Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike",34.7569503,134.8411775,"Wednesday",0,"Izakaya","Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike","Wednesday"
2016-01-06,"air_a38f25e3399d1b25",25,"Tokyo-to Chiyoda-ku Kudanminami",35.6940027,139.7535951,"Wednesday",0,"Izakaya","Tokyo-to Chiyoda-ku Kudanminami","Wednesday"
2016-01-06,"air_db80363d35f10926",4,"Hokkaido Asahikawa-shi 6 Jodori",43.7706355,142.364819,"Wednesday",0,"Dining bar","Hokkaido Asahikawa-shi 6 Jodori","Wednesday"
