visit_date,air_store_id,visitors,air_res_visitors,air_genre_name,air_area_name,latitude,longitude,day_of_week,holiday_flg,hpg_store_id,hpg_res_visitors,tot_Res
2016-01-01,air_db80363d35f10926,8,5,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Friday,1,hpg_878cc70b1abc76f7,4,9
2016-01-02,air_6b15edd1b4fbb96a,96,11,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Saturday,0,hpg_babe2c3d962d7bb6,9,20
2016-01-02,air_db80363d35f10926,94,34,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Saturday,0,hpg_878cc70b1abc76f7,2,36
2016-01-03,air_37189c92b6c761ec,132,0,Bar/Cocktail,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Sunday,0,hpg_2e10e1956528199a,4,4
2016-01-03,air_6c91a28278a16f64,24,4,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Sunday,0,hpg_945c2807cef88022,4,8
2016-01-03,air_789466e488705c93,43,0,Izakaya,Fukuoka-ken Kurume-shi Jonanmachi,33.3192865,130.5083735,Sunday,0,hpg_4ca41b70c41bc844,6,6
2016-01-03,air_db80363d35f10926,69,17,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Sunday,0,hpg_878cc70b1abc76f7,6,23
2016-01-03,air_de88770300008624,29,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Sunday,0,hpg_a786d63904735f58,2,2
2016-01-04,air_63b13c56b7201bd9,33,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Monday,0,hpg_4bc649e72e2a239a,11,11
2016-01-04,air_7cc17a324ae5c7dc,10,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Monday,0,hpg_9b38b9e13da6da27,4,4
2016-01-04,air_c73d319ffabf287a,16,0,Yakiniku/Korean food,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Monday,0,hpg_e8f879fcbf993278,2,2
2016-01-04,air_e270aff84ac7e4c8,23,0,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Monday,0,hpg_8d472b917afb2cd9,6,6
